bc_short_name,bc_id,bc_short_name_id,parent_bc_id,bc_categories,bc_synonyms,result_scales,bc_definition,bc_hierarchy_level,bc_hierarchy_full,dec_n
Acute Myocardial Infarction From PCI Complication Type,C119239,Acute Myocardial Infarction From PCI Complication Type (C119239),C25284,Findings About Cardiovascular Events;Cardiovascular System Finding,PCIAAC;PCI Acute Angiographic Complication,Nominal,A description of the complications from a percutaneous coronary intervention procedure that lead to an acute myocardial ischemic event.,1,Type (C25284); Acute Myocardial Infarction From PCI Complication Type (C119239),6
Acute Myocardial Infarction Type,C118936,Acute Myocardial Infarction Type (C118936),C35552,Findings About Cardiovascular Events;Cardiovascular System Finding,ACMITYPE,Ordinal,A classification or description of the acute myocardial infarction.,1,Cardiovascular System Finding (C35552); Acute Myocardial Infarction Type (C118936),8
Adrenarche Age,C189362,Adrenarche Age (C189362),C69217,Reproductive Findings;Age,ADRNRAGE,Quantitative,The age at onset of adrenal androgen-mediated secondary sexual characteristics.,1,Age Started (C69217); Adrenarche Age (C189362),3
Adverse Event,C41331,Adverse Event (C41331),,Subject Disposition;Protocol Disposition Events,,Nominal,"Any unfavorable or unintended disease, sign, or symptom (including an abnormal laboratory finding) that is temporally associated with the use of a medical treatment or procedure, and that may or may not be considered related to the medical treatment or procedure. Such events can be related to the intervention, dose, route of administration, patient, or caused by an interaction with another drug(s) or procedure(s).",0,Adverse Event (C41331),5
Age,C25150,Age (C25150),,Age,,,How long something has existed; elapsed time since birth.,0,Age (C25150),0
Age Started,C69217,Age Started (C69217),,Age,Age at Onset,Quantitative,The age of a person at the start of a specific event.,0,Age Started (C69217),0
Age at Death,C135383,Age at Death (C135383),C25150,Death Diagnosis and Details;Age,AGEDTH;Age At Date of Death,Quantitative,The age at which death occurred.,1,Age (C25150); Age at Death (C135383),3
Age at First Oral Sex,C201481,Age at First Oral Sex (C201481),C25150,Reproductive Findings;Age,FSXOAGE,Quantitative,The age at which first oral sex occurred.,1,Age (C25150); Age at First Oral Sex (C201481),3
Age at First Sexual Intercourse,C201480,Age at First Sexual Intercourse (C201480),C25150,Reproductive Findings;Age,FSXIAGE,Quantitative,The age at which first sexual intercourse occurred.,1,Age (C25150); Age at First Sexual Intercourse (C201480),3
Age at Menarche,C19666,Age at Menarche (C19666),C25150,Reproductive Findings;Age,MENARAGE;Menarche Age,Quantitative,Age of first menstruation.  A risk factor for breast cancer,1,Age (C25150); Age at Menarche (C19666),3
Age at Menopause,C106497,Age at Menopause (C106497),C25150,Reproductive Findings;Age,MENOAGE;Menopause Age,Quantitative,The age at which permanent cessation of menses occurs.,1,Age (C25150); Age at Menopause (C106497),3
Aggregate PR Interval,C117773,Aggregate PR Interval (C117773),C62085,Electrocardiogram Findings,PR Interval Aggregate;PQ Interval Aggregate;PRAG;PQAG,Quantitative,"An aggregate PR value based on the measurement of PR intervals from multiple beats within a single ECG. The method of aggregation, which can vary, is typically a measure of central tendency such as the mean. (CDISC)",1,ECG Measurement (C62085); Aggregate PR Interval (C117773),9
Aggregate QRS Duration,C117779,Aggregate QRS Duration (C117779),C62085,Electrocardiogram Findings,QRS Aggregate Duration;QRSAG,Quantitative,"An aggregate QRS value based on the measurement of QRS intervals from multiple beats within a single ECG. The method of aggregation, which can vary, is typically a measure of central tendency such as the mean. (CDISC)",1,ECG Measurement (C62085); Aggregate QRS Duration (C117779),9
Aggregate QT Interval,C117783,Aggregate QT Interval (C117783),C62085,Electrocardiogram Findings,QT Interval Aggregate;QTAG,Quantitative,"An aggregate QT value based on the measurement of QT intervals from multiple beats within a single ECG. The method of aggregation, which can vary, is typically a measure of central tendency such as the mean. (CDISC)",1,ECG Measurement (C62085); Aggregate QT Interval (C117783),9
Aggregate QTCB Interval,C117784,Aggregate QTCB Interval (C117784),C62085,Electrocardiogram Findings,QTCB Interval Aggregate;QTCBAG,Quantitative,A QT aggregate interval corrected for heart rate using Bazett's formula.,1,ECG Measurement (C62085); Aggregate QTCB Interval (C117784),9
Aggregate QTCF Interval,C117786,Aggregate QTCF Interval (C117786),C62085,Electrocardiogram Findings,QTCF Interval Aggregate;QTCFAG,Quantitative,A QT aggregate interval corrected for heart rate using Fridericia's formula.,1,ECG Measurement (C62085); Aggregate QTCF Interval (C117786),9
Aggregate RR Interval,C117791,Aggregate RR Interval (C117791),C62085,Electrocardiogram Findings,RR Interval Aggregate;RRAG,Quantitative,"An aggregate RR value based on the measurement of RR intervals from multiple beats within a single ECG. The method of aggregation, which can vary, is typically a measure of central tendency such as the mean. (CDISC)",1,ECG Measurement (C62085); Aggregate RR Interval (C117791),9
Alanine Aminotransferase Measurement,C64433,Alanine Aminotransferase Measurement (C64433),C74954,Laboratory Tests;Chemistry Tests;Liver Function Tests,ALT;SGPT,Quantitative,A quantitative measurement of alanine aminotransferase present in a sample.,2,Chemistry Test (C49237); Liver Function Test (C74954); Alanine Aminotransferase Measurement (C64433),4
Albumin Measurement,C64431,Albumin Measurement (C64431),C74954,Laboratory Tests;Chemistry Tests;Liver Function Tests,Albumin,Quantitative;Ordinal,A quantitative measurement of albumin present in a sample.,2,Chemistry Test (C49237); Liver Function Test (C74954); Albumin Measurement (C64431),4
Alcohol Use History,C81229,Alcohol Use History (C81229),,Substance Use;Personal Medical History;Medical History,Alcohol History;Alcohol Use,Nominal,A description of an individual's current and past experience with alcoholic beverage consumption.,0,Alcohol Use History (C81229),11
Alkaline Phosphatase Measurement,C64432,Alkaline Phosphatase Measurement (C64432),C74954,Laboratory Tests;Chemistry Tests;Liver Function Tests,Alkaline Phosphatase,Quantitative,A quantitative measurement of alkaline phosphatase present in a sample.,2,Chemistry Test (C49237); Liver Function Test (C74954); Alkaline Phosphatase Measurement (C64432),4
Allergen Skin Response Index,C112221,Allergen Skin Response Index (C112221),C15260,Immunology Tests;Immunodiagnostic Procedure;Skin Response,ASRINDEX,Quantitative,The ratio measurement of the allergen wheal size to the positive control wheal size in an allergen skin test.,1,Immunodiagnostic Procedure (C15260); Allergen Skin Response Index (C112221),6
Allergen Skin Response Intensity,C112222,Allergen Skin Response Intensity (C112222),C15260,Immunology Tests;Immunodiagnostic Procedure;Skin Response,ASRINT,Quantitative;Nominal,The semiquantitative assessment of the wheal-and-flare index that measures the intensity of the reaction.,1,Immunodiagnostic Procedure (C15260); Allergen Skin Response Intensity (C112222),6
Alpha Angle of the Hip,C191306,Alpha Angle of the Hip (C191306),C110937,Musculoskeletal Finding,ALPHANGL;Alpha Angle,Quantitative,A measurement of the angle between the line from the center of the femoral head to the center of the femoral neck at its narrowest point and the line from the center of the femoral head to a point where the distance from the bone to the center of the head is greater than the radius of the cartilage-covered femoral head.,1,Musculoskeletal Finding (C110937); Alpha Angle of the Hip (C191306),6
Analysis,C25391,Analysis (C25391),,Analysis,Analytical;Analyzed,,"Examination and interpretation; the process of identifying an issue to be understood and addressed, modelling the issue, investigating the model results, interpreting the results, and possibly making a recommendation. The concept also refers to the examination and study of a whole in terms of the parts composing it.",0,Analysis (C25391),0
Anatomic Response,C156564,Anatomic Response (C156564),C50995,Oncology Standards;Disease Response;Disease Response Criteria;Disease Response and Clinical Classification;RS;LUGANO CLASSIFICATION,ANATRESP,Ordinal,An assessment of the anatomic response (based on changes in size of anatomic structures) of the disease to the therapy.,1,Disease Response (C50995); Anatomic Response (C156564),5
Anisocyte Measurement,C74797,Anisocyte Measurement (C74797),C51946,Laboratory Tests;Hematology Tests;Blood Cell Counts;Erythrocyte Counts,Anisocytes;Anisocytosis;ANISO,Ordinal,The determination of the number of anisocytes present in a sample.,3,Hematology Test (C49286); Blood Cell Count (C28133); Erythrocyte Count (C51946); Anisocyte Measurement (C74797),3
Antibody Measurement,C210010,Antibody Measurement (C210010),,Laboratory Tests;Immunology Tests,,,The determination of the amount of antibodies present in a sample.,0,Antibody Measurement (C210010),0
Anticipated Adverse Event,C156629,Anticipated Adverse Event (C156629),C41331,Events;Reported Events;Adverse Events,Adverse Event;Prespecified Adverse Event,Nominal,An adverse event that is reasonably expected and/or listed in the clinical protocol or other study-related document.,1,Adverse Event (C41331); Anticipated Adverse Event (C156629),26
Antigenic Skin Flare Longest Diameter,C112281,Antigenic Skin Flare Longest Diameter (C112281),C15260,Immunology Tests;Immunodiagnostic Procedure;Skin Response,Flare Longest Diameter;FLRLDIAM,Quantitative,The longest diameter of the area of redness that forms around the site of an antigenic challenge to the skin.,1,Immunodiagnostic Procedure (C15260); Antigenic Skin Flare Longest Diameter (C112281),7
Antigenic Skin Flare Mean Diameter,C112282,Antigenic Skin Flare Mean Diameter (C112282),C15260,Immunology Tests;Immunodiagnostic Procedure;Skin Response,Flare Mean Diameter;FLRMDIAM,Quantitative,The mean diameter of the area of redness that forms around the site of an antigenic challenge to the skin.,1,Immunodiagnostic Procedure (C15260); Antigenic Skin Flare Mean Diameter (C112282),7
Antigenic Skin Flare Size,C112283,Antigenic Skin Flare Size (C112283),C15260,Immunology Tests;Immunodiagnostic Procedure;Skin Response,Flare Size;FLARESZ,Ordinal,The size of the area of redness that forms around the site of an antigenic challenge to the skin.,1,Immunodiagnostic Procedure (C15260); Antigenic Skin Flare Size (C112283),6
Appendicular Skeletal Muscle Mass,C178018,Appendicular Skeletal Muscle Mass (C178018),C112025,Musculoskeletal Finding;Mass Measurement,ASMM;ASMMASS,Quantitative,A measurement of the mass of the muscles of the arms and legs.,1,Mass Measurement (C112025); Appendicular Skeletal Muscle Mass (C178018),6
Aspartate Aminotransferase Measurement,C64467,Aspartate Aminotransferase Measurement (C64467),C74954,Laboratory Tests;Chemistry Tests;Liver Function Tests,AST;SGOT,Quantitative,A quantitative measurement of aspartate aminotransferase present in a sample.,2,Chemistry Test (C49237); Liver Function Test (C74954); Aspartate Aminotransferase Measurement (C64467),4
Assay,C60819,Assay (C60819),,Laboratory Tests;Mixed Category Laboratory Procedure;Assay,,,A qualitative or quantitative analysis performed to determine the amount of a particular constituent in a sample or the biological or pharmacological properties of a drug.,0,Assay (C60819),0
Atrioventricular Conduction ECG Assessment,C111131,Atrioventricular Conduction ECG Assessment (C111131),C83146,Electrocardiogram Findings;Electrocardiogram Abnormalities;ECG Findings;ECG Abnormalities,AVCOND;Atrioventricular Conduction,Nominal,An electrocardiographic assessment of the transmission of electrical impulses between the atria and ventricles.,1,Electrocardiogram Test (C83146); Atrioventricular Conduction ECG Assessment (C111131),7
Automated Breast Ultrasound,C186741,Automated Breast Ultrasound (C186741),C19337,Diagnostic Imaging;Medical Imaging;Breast Cancer Diagnostic Procedures;Breast Cancer TAUG,Automated Ultrasound;Diagnostic Ulatrasound;Ultrasound,Nominal,"A method of ultrasonography for secondary breast cancer screening in asymptomatic women with dense breasts. It uses an ultrasound scanner and a transducer device which moves automatically in a scan box. The patient lies in a supine position and automated breast ultrasound is performed in anteroposterior, medial, and lateral views routinely, and in the superior or inferior view additionally in cases of large breasts. The image series is used for 3-dimensional image reconstruction and tumor detection.",3,Imaging Procedure (C17369); Ultrasound Imaging (C17230); Diagnostic Ultrasound (C19337); Automated Breast Ultrasound (C186741),11
Autopsy Indicator,C135384,Autopsy Indicator (C135384),C25180,Indicator,AUTOPIND;Was Autopsy Performed,Ordinal,An indication as to whether an autopsy was performed.,1,Indicator (C25180); Autopsy Indicator (C135384),2
Average Menstrual Cycle Duration,C189354,Average Menstrual Cycle Duration (C189354),C119549,Reproductive Findings,MENSDURA;Average Menstrual Cycle Length,Quantitative,The average length of time of the menses cycle.,2,Duration (C25330); Menstrual Cycle Duration (C119549); Average Menstrual Cycle Duration (C189354),3
Axis and Voltage ECG Assessment,C111132,Axis and Voltage ECG Assessment (C111132),C83146,Electrocardiogram Findings;Electrocardiogram Abnormalities;ECG Findings;ECG Abnormalities,AXISVOLT;Axis and Voltage,Nominal,An electrocardiographic assessment of the mean cardiac electrical vector and ECG voltage.,1,Electrocardiogram Test (C83146); Axis and Voltage ECG Assessment (C111132),7
B-Lymphocyte Count,C174314,B-Lymphocyte Count (C174314),C51949,Laboratory Tests;Hematology Tests;Blood Cell Counts;White Blood Cell Counts,B-Cell Lymphocytes;B-Cells;B-Lymphocytes,Quantitative,A measurement of the B-lymphocyte count in a sample.,4,Hematology Test (C49286); Blood Cell Count (C28133); Leukocyte Count (C51948); Lymphocyte Count (C51949); B-Lymphocyte Count (C174314),4
BRCA Mutation Analysis,C146692,BRCA Mutation Analysis (C146692),C18302,Oncology Standards;Breast Cancer TAUG;Genetic Testing;Gene Expression Analysis;Genetic Variation Analysis;Molecular Analysis;Genetic Molecular Analysis;Laboratory Procedures,BRCA Mutation Status;BRCA Family Gene Mutation Analysis,Ordinal,A procedure to test for the presence of mutations in BRCA family genes.,1,Genetic Variation Analysis (C18302); BRCA Mutation Analysis (C146692),7
BRCA1 Gene Mutation,C19635,BRCA1 Gene Mutation (C19635),C146692,Oncology Standards;Breast Cancer TAUG;Genetic Testing;Gene Expression Analysis;Molecular Analysis;Genetic Molecular Analysis;Laboratory Procedures,BRCA1;BRCA1 Mutation;Breast Cancer 1 Gene Mutation;BROVCA1 Gene Mutation;Mutation of the BRCA1 Gene,Ordinal,"A mutation that is typically a heritable, permanent change in the nucleotide sequence of the BRCA1 gene. Single nucleotide substitutions and small deletions or insertions (1-20 bases) account for the majority of mutations in the BRCA1 gene. Approximately 75% of these alterations result in a truncated form of the breast cancer type 1 susceptibility protein. Mutations in the BRCA1 gene predispose individuals to breast and ovarian cancers.",2,Genetic Variation Analysis (C18302); BRCA Mutation Analysis (C146692); BRCA1 Gene Mutation (C19635),7
BRCA2 Gene Mutation,C19636,BRCA2 Gene Mutation (C19636),C146692,Oncology Standards;Breast Cancer TAUG;Genetic Testing;Gene Expression Analysis;Molecular Analysis;Genetic Molecular Analysis;Laboratory Procedures,BRCA2;BRCA2 Mutation;Breast Cancer 2 Gene Mutation;BROVCA2 Gene Mutation;Mutation of the BRCA2 Gene;XRCC11 Gene Mutation;BRCC2 Gene Mutation;FANCD1 Gene Mutation,Ordinal,"A mutation that is typically a heritable, permanent change in the nucleotide sequence of the BRCA2 gene. Single nucleotide substitutions and small deletions or insertions (1-20 bases) account for the majority of mutations in the BRCA2 gene. Most of these alterations result in a truncated form of the breast cancer type 2 susceptibility protein. Mutations in the BRCA2 gene predispose males to breast cancer.",2,Genetic Variation Analysis (C18302); BRCA Mutation Analysis (C146692); BRCA2 Gene Mutation (C19636),7
Bartholin's Gland Abnormality Indicator,C154880,Bartholin's Gland Abnormality Indicator (C154880),C181043,Reproductive Findings;Clinical Findings Indicator;Indicator,BTHGLIND;Abnormal Indicator,Ordinal,An indication as to whether the Bartholin's gland is abnormal.,1,Clinical Findings Indicator (C181043); Bartholin's Gland Abnormality Indicator (C154880),2
Best Overall Response,C94536,Best Overall Response (C94536),C50995,Oncology Standards;Disease Response;Disease Response Criteria;Disease Response and Clinical Classification;RS;RECIST 1.1;iRECIST,BESTRESP,Nominal,The most clinically favorable response recorded from the start of the study treatment until the end of treatment.,1,Disease Response (C50995); Best Overall Response (C94536),7
Beta Angle of the Hip,C191307,Beta Angle of the Hip (C191307),C110937,Musculoskeletal Finding,BETAANGL;Beta Angle,Quantitative,A measurement of the angle formed by the cartilaginous roof to the vertical cortex of the ilium.,1,Musculoskeletal Finding (C110937); Beta Angle of the Hip (C191307),6
Bicarbonate Measurement,C74667,Bicarbonate Measurement (C74667),C49237,Laboratory Tests;Chemistry Tests,Bicarbonate;HCO3,Quantitative,The determination of the amount of bicarbonate present in a sample.,1,Chemistry Test (C49237); Bicarbonate Measurement (C74667),4
Biopsy,C15189,Biopsy (C15189),C18020,Diagnostic Procedures;Procedures;Biopsies;Cancer Diagnostic Procedures;Breast Cancer TAUG,Bx,Nominal,"The removal of tissue specimens or fluid from the living body for microscopic examination, performed to establish a diagnosis.",1,Diagnostic Procedure (C18020); Biopsy (C15189),11
Biospecimen Collection,C70945,Biospecimen Collection (C70945),,Biospecimen Events,Collecting;Collected;Sample Collection,Nominal,"The act or process of gathering biospecimens for testing, diagnostic, propagation, treatment or research purposes.",0,Biospecimen Collection (C70945),7
Biospecimen Shipping,C179747,Biospecimen Shipping (C179747),,Biospecimen Events,Biological Sample Shipment;Biological Sample Shipping;Biological Sample Transport;Specimen Ship;Shipped,Nominal,The act or process of the logistical considerations for transporting a biological sample from the sender to the receiver.,0,Biospecimen Shipping (C179747),6
Biospecimen Storage,C179748,Biospecimen Storage (C179748),,Biospecimen Events,Biological Sample Storage;Storing,Nominal,"The act, process and logistical considerations of the physical or environmental conditions under which the biological sample is maintained.",0,Biospecimen Storage (C179748),6
Birth Control Method,C106501,Birth Control Method (C106501),C71460,Reproductive Findings,BCMETHOD,Nominal,"The method by which conception or impregnation is prevented. This may be achieved through the use of devices, drugs or surgery.",1,Method (C71460); Birth Control Method (C106501),2
Bleeding or Spotting Between Menstrual Periods Indicator,C189352,Bleeding or Spotting Between Menstrual Periods Indicator (C189352),C154889,Reproductive Findings;Clinical Findings Indicator;Indicator,BSBMPIND;Bleed/Spot Between Menstrual Periods Ind,Ordinal,An indication as to whether the individual has experienced bleeding or spotting between menstrual periods.,2,Clinical Findings Indicator (C181043); Abnormal Bleeding Indicator (C154889); Bleeding or Spotting Between Menstrual Periods Indicator (C189352),2
Blistering Indicator,C122195,Blistering Indicator (C122195),C119241,Symptom Indicator;Skin Response;Reproductive Findings,BLISTIND,Ordinal,Specifies whether blistering occurred.,1,Symptom Indicator (C119241); Blistering Indicator (C122195),6
Blood Cell Count,C28133,Blood Cell Count (C28133),C49286,Laboratory Tests,Complete Blood Count;CBC;Full Blood Count;FBC,,"The determination of the number of red blood cells, white blood cells, and platelets in a biospecimen.",1,Hematology Test (C49286); Blood Cell Count (C28133),0
Blood Cell Count Ratio Measurement,C67208,Blood Cell Count Ratio Measurement (C67208),C28133,Laboratory Tests;Hematology Tests;Blood Cell Counts;Blood Cell Count Ratio Measurements,,,The determination of the ratio of one blood cell component to another in a blood sample. The measurement may be expressed as either a ratio or a percentage.,2,Hematology Test (C49286); Blood Cell Count (C28133); Blood Cell Count Ratio Measurement (C67208),0
Blood Flow Rate,C94866,Blood Flow Rate (C94866),C82554,Findings;Clinical Test Result;Renal Function Tests;Urinary System Findings,Blood Flow Rate;BLDFLRT,Quantitative,"The volume of blood per unit time passing through a specified location, such as a point in a blood vessel or an entire organ. Units are ml/sec.",1,Flow Rate (C82554); Blood Flow Rate (C94866),6
Blood Pressure,C54706,Blood Pressure (C54706),C49672,Vital Signs,BP,,The pressure of the circulating blood against the walls of the blood vessels.,1,Vital Signs Measurement (C49672); Blood Pressure (C54706),0
Body Fat Percentage,C139218,Body Fat Percentage (C139218),C19332,Musculoskeletal Finding;Personal Attribute,BODYFATP,Quantitative,"The amount of an individual's total body mass that is fat, expressed as a percent.",1,Personal Attribute (C19332); Body Fat Percentage (C139218),4
Body Frame Size,C49680,Body Frame Size (C49680),,Vital Signs,Frame Size,Ordinal,"The categorization of a person's body frame into small, medium and large based on the measurement of wrist circumference or the breadth of the elbow.",0,Body Frame Size (C49680),1
Body Height,C164634,Body Height (C164634),C25347,Vital Signs,HEIGHT,Quantitative,The vertical measurement or distance from the base to the top of a subject or participant.,1,Height (C25347); Body Height (C164634),3
Body Mass Index,C16358,Body Mass Index (C16358),,Vital Signs,BMI;Quetelet Index,Quantitative,An individual's weight in kilograms divided by the square of the height in meters.,0,Body Mass Index (C16358),3
Body Temperature,C174446,Body Temperature (C174446),,Vital Signs,Temperature,Quantitative,A measurement of the temperature of the body.,0,Body Temperature (C174446),4
Body Weight,C81328,Body Weight (C81328),C25208,Vital Signs,WEIGHT,Quantitative,The weight of a subject.,1,Weight (C25208); Body Weight (C81328),3
Bone Marrow Disease Involvement Indicator,C135477,Bone Marrow Disease Involvement Indicator (C135477),C181043,Oncology Standards;Disease Response;Disease Response Criteria;Disease Response and Clinical Classification;RS;LUGANO CLASSIFICATION,BMIVLIND;Bone Marrow Involvement Indicator,Ordinal,An indication as to whether disease is present in the bone marrow.,1,Clinical Findings Indicator (C181043); Bone Marrow Disease Involvement Indicator (C135477),5
Bone Mineral Content,C147472,Bone Mineral Content (C147472),C110937,Musculoskeletal Finding,BMC;Bone Mineral Mass;Bone Mass,Quantitative,An assessment of the quantity of minerals within a specific bone.,1,Musculoskeletal Finding (C110937); Bone Mineral Content (C147472),6
Bone Mineral Density T-Score,C147473,Bone Mineral Density T-Score (C147473),C120401,Musculoskeletal Finding;T-Score,BMDT,Quantitative,The standard deviation of the subject's bone mineral density score in comparison to the expected normal bone mineral density of a healthy 30-year old adult.,1,T-Score (C120401); Bone Mineral Density T-Score (C147473),5
Bone Mineral Density Test,C61545,Bone Mineral Density Test (C61545),C18020,Musculoskeletal Finding;Diagnostic Procedure,BMD;Bone Mineral Density;Bone Mass;Bone Density,Quantitative,A scanning procedure used to measure calcium and other minerals present in bone.,1,Diagnostic Procedure (C18020); Bone Mineral Density Test (C61545),6
Bone Mineral Density Z-Score,C139217,Bone Mineral Density Z-Score (C139217),C68741,Musculoskeletal Finding;Z-Score,BMDZ,Quantitative,"A statistical score representing the number of standard deviations above or below what is expected for an individual's bone density based on his age, sex, weight, and race. Z-scores are most useful in evaluating low bone density in children, premenopausal women, and men younger than age fifty.",1,Z-Score (C68741); Bone Mineral Density Z-Score (C139217),5
Brachytherapy,C15195,Brachytherapy (C15195),C15313,Surgeries;Procedures;Breast Cancer Procedures;Radiotherapy;Breast Cancer TAUG,Internal Radiation;Internal Radiation Brachytherapy,Nominal,"A type of radiation therapy in which radioactive material is placed inside the body, into a tumor or body cavity.",2,Therapeutic Procedure (C49236); Radiation Therapy (C15313); Brachytherapy (C15195),10
Breast Cancer by AJCC v8 Anatomic Stage,C139533,Breast Cancer by AJCC v8 Anatomic Stage (C139533),C139532,Oncology Standards;Breast Cancer TAUG;Staging,Breast Carcinoma by AJCC v8 Anatomic Stage;TNM Staging,Ordinal,"A term that refers to the staging of breast cancer, following the rules of the TNM AJCC v8 classification system. This staging system should only be used in global regions where biomarker tests are not routinely available. (from AJCC 8th Ed.)",2,Breast Carcinoma (C4872); Breast Cancer by AJCC v8 Stage (C139532); Breast Cancer by AJCC v8 Anatomic Stage (C139533),4
Breast Cancer by AJCC v8 Prognostic Stage,C139554,Breast Cancer by AJCC v8 Prognostic Stage (C139554),C139532,Oncology Standards;Breast Cancer TAUG;Staging,Breast Carcinoma by AJCC v8 Prognostic Stage;Breast Cancer by AJCC v8 Prognostic Stage Group;TNM Staging,Ordinal,"A term that refers to the staging of breast cancer, following the rules of the TNM AJCC v8 classification system. This staging system should be used in countries where HER2, ER, and PR biomarker tests are routinely performed for patient care (U.S., Canada, etc.). (from AJCC 8th Ed.)",2,Breast Carcinoma (C4872); Breast Cancer by AJCC v8 Stage (C139532); Breast Cancer by AJCC v8 Prognostic Stage (C139554),4
Breast Cancer by AJCC v8 Stage,C139532,Breast Cancer by AJCC v8 Stage (C139532),C4872,Oncology Standards;Breast Cancer TAUG;Staging,Breast Carcinoma by AJCC v8 Stage;TNM Staging,Ordinal,"A term that refers to the staging of breast cancer, following the rules of the TNM AJCC v8 classification system. It applies to invasive (infiltrating) carcinoma of the breast and ductal carcinoma in situ of the breast. It does not apply to breast sarcoma, phyllodes tumor, and breast lymphoma. (from AJCC 8th Ed.)",1,Breast Carcinoma (C4872); Breast Cancer by AJCC v8 Stage (C139532),4
Breast Carcinoma,C4872,Breast Carcinoma (C4872),,Oncology Standards;Breast Cancer TAUG,Cancer of the Breast,,"A carcinoma arising from the breast, most commonly the terminal ductal-lobular unit. It is the most common malignant tumor in females. Risk factors include country of birth, family history, menstrual and reproductive history, fibrocystic disease and epithelial hyperplasia, exogenous estrogens, contraceptive agents, and ionizing radiation. The vast majority of breast carcinomas are adenocarcinomas (ductal or lobular). Breast carcinoma spreads by direct invasion, by the lymphatic route, and by the blood vessel route. The most common site of lymph node involvement is the axilla.",0,Breast Carcinoma (C4872),0
