package_date,bc_id,sdtmig_start_version,sdtmig_end_version,domain,vlm_source,vlm_group_id,short_name,sdtm_variable,dec_id,nsv_flag,codelist,codelist_submission_value,subset_codelist,value_list,assigned_term,assigned_value,role,subject,linking_phrase,predicate_term,object,data_type,length,format,significant_digits,mandatory_variable,mandatory_value,origin_type,origin_source,comparator,vlm_target
2025-07-01,C179175,3-4,,AE,AE.AETERM,AE,Adverse Event Free Text Format,AESDISAB,C113380,N,C66742,NY,NY_NY,N;Y,,,Qualifier,AESDISAB,describes relationship of,DESCRIBES,AETERM,text,1.0,,,N,N,Collected,Investigator,,
2025-07-01,C179175,3-4,,AE,AE.AETERM,AE,Adverse Event Free Text Format,AESDTH,C48275,N,C66742,NY,NY_NY,N;Y,,,Qualifier,AESDTH,describes relationship of,DESCRIBES,AETERM,text,1.0,,,N,N,Collected,Investigator,,
2025-07-01,C179175,3-4,,AE,AE.AETERM,AE,Adverse Event Free Text Format,AESHOSP,C83052,N,C66742,NY,NY_NY,N;Y,,,Qualifier,AESHOSP,describes relationship of,DESCRIBES,AETERM,text,1.0,,,N,N,Collected,Investigator,,
2025-07-01,C179175,3-4,,AE,AE.AETERM,AE,Adverse Event Free Text Format,AESLIFE,C84266,N,C66742,NY,NY_NY,N;Y,,,Qualifier,AESLIFE,describes relationship of,DESCRIBES,AETERM,text,1.0,,,N,N,Collected,Investigator,,
2025-07-01,C179175,3-4,,AE,AE.AETERM,AE,Adverse Event Free Text Format,AESOD,C83214,N,C66742,NY,NY_NY,N;Y,,,Qualifier,AESOD,describes relationship of,DESCRIBES,AETERM,text,1.0,,,N,N,Collected,Investigator,,
2025-07-01,C179175,3-4,,AE,AE.AETERM,AE,Adverse Event Free Text Format,AESMIE,C83053,N,C66742,NY,NY_NY,N;Y,,,Qualifier,AESMIE,describes relationship of,DESCRIBES,AETERM,text,1.0,,,N,N,Collected,Investigator,,
2025-07-01,C179175,3-4,,AE,AE.AETERM,AE,Adverse Event Free Text Format,AECONTRT,C83199,N,C66742,NY,NY_NY,N;Y,,,Qualifier,AECONTRT,describes relationship of,DESCRIBES,AETERM,text,1.0,,,N,N,Collected,Investigator,,
2025-07-01,C179175,3-4,,AE,AE.AETERM,AE,Adverse Event Free Text Format,AETOXGR,C78605,N,,,,0;1;2;3;4;5,,,Qualifier,AETOXGR,is the severity of the toxicity in,SPECIFIES,AETERM,text,1.0,,,N,N,Collected,Investigator,,
2025-07-01,C179175,3-4,,AE,AE.AETERM,AE,Adverse Event Free Text Format,AESTDTC,C83215,N,,,,,,,Timing,AESTDTC,is the start date for,IS_TIMING_FOR,AETERM,datetime,,,,N,N,Collected,Investigator,,
2025-07-01,C179175,3-4,,AE,AE.AETERM,AE,Adverse Event Free Text Format,AEENDTC,C83201,N,,,,,,,Timing,AEENDTC,is the end date for,IS_TIMING_FOR,AETERM,datetime,,,,N,N,Collected,Investigator,,
2025-07-01,C179175,3-4,,AE,AE.AETERM,AE,Adverse Event Free Text Format,AEENRF,C82557,N,C66728,STENRF,,BEFORE;DURING;DURING/AFTER;AFTER;UNKNOWN,,,Timing,,,,,text,20.0,,,N,N,Assigned,Sponsor,,
2025-07-01,C179175,3-4,,AE,AE.AETERM,AE,Adverse Event Free Text Format,AEENRTPT,C82558,N,C66728,STENRF,,BEFORE;COINCIDENT;AFTER;ONGOING;UNKNOWN,,,Timing,,,,,text,20.0,,,N,N,Assigned,Sponsor,,
2025-07-01,C179175,3-4,,AE,AE.AETERM,AE,Adverse Event Free Text Format,AEENTPT,C82574,N,,,,,,,Timing,,,,,text,20.0,,,N,N,Assigned,Sponsor,,
2025-07-01,C179175,3-4,,AE,AE.AETERM,AEPRESP,Adverse Event Prespecified,AETERM,C78541,N,,,,,,,Topic,AETERM,is original text for,IS_ORIGINAL_TEXT_FOR,AEDECODE,text,200.0,,,Y,Y,Collected,Investigator,,
2025-07-01,C179175,3-4,,AE,AE.AETERM,AEPRESP,Adverse Event Prespecified,AEDECOD,C83344,N,,,,,,,Qualifier,AEDECOD,is a dictionary-derived term for the value in,IS_DERIVED_FROM,AETERM,text,200.0,,,Y,N,Assigned,Sponsor,,
2025-07-01,C179175,3-4,,AE,AE.AETERM,AEPRESP,Adverse Event Prespecified,AELLT,,N,,,,,,,Qualifier,AELLT,is a dictionary-derived term for the value in,IS_DERIVED_FROM,AETERM,text,200.0,,,Y,N,Assigned,Sponsor,,
2025-07-01,C179175,3-4,,AE,AE.AETERM,AEPRESP,Adverse Event Prespecified,AELLTCD,,N,,,,,,,Qualifier,AELLTCD,is the code for the value in,IS_DECODED_BY,AETERM,integer,8.0,,,Y,N,Assigned,Sponsor,,
2025-07-01,C179175,3-4,,AE,AE.AETERM,AEPRESP,Adverse Event Prespecified,AEPTCD,,N,,,,,,,Qualifier,AEPTCD,is the code for the value in,IS_DECODED_BY,AETERM,integer,8.0,,,Y,N,Assigned,Sponsor,,
2025-07-01,C179175,3-4,,AE,AE.AETERM,AEPRESP,Adverse Event Prespecified,AEHLT,,N,,,,,,,Qualifier,AEHLT,is a dictionary-derived term for the value in,IS_DERIVED_FROM,AETERM,text,200.0,,,Y,N,Assigned,Sponsor,,
2025-07-01,C179175,3-4,,AE,AE.AETERM,AEPRESP,Adverse Event Prespecified,AEHLTCD,,N,,,,,,,Qualifier,AEHLTCD,is the code for the value in,IS_DECODED_BY,AETERM,integer,8.0,,,Y,N,Assigned,Sponsor,,
2025-07-01,C179175,3-4,,AE,AE.AETERM,AEPRESP,Adverse Event Prespecified,AEHLGT,,N,,,,,,,Qualifier,AEHLGT,is a dictionary-derived term for the value in,IS_DERIVED_FROM,AETERM,text,200.0,,,Y,N,Assigned,Sponsor,,
2025-07-01,C179175,3-4,,AE,AE.AETERM,AEPRESP,Adverse Event Prespecified,AEHLGTCD,,N,,,,,,,Qualifier,AEHLGTCD,is the code for the value in,IS_DECODED_BY,AETERM,integer,8.0,,,Y,N,Assigned,Sponsor,,
2025-07-01,C179175,3-4,,AE,AE.AETERM,AEPRESP,Adverse Event Prespecified,AECAT,C83198,N,,,,,,,Qualifier,AECAT,groups values in,GROUPS,AETERM,text,200.0,,,N,N,Assigned,Sponsor,,
2025-07-01,C179175,3-4,,AE,AE.AETERM,AEPRESP,Adverse Event Prespecified,AESCAT,C83212,N,,,,,,,Qualifier,AESCAT,values are grouped by,IS_GROUPED_BY,AECAT,text,200.0,,,N,N,Assigned,Sponsor,,
2025-07-01,C179175,3-4,,AE,AE.AETERM,AEPRESP,Adverse Event Prespecified,AEPRESP,C87840,N,C66742,NY,NY_Y,Y,,,Qualifier,AEPRESP,indicates pre-specification of the value in,IS_INDICATOR_FOR,AETERM,text,1.0,,,N,N,Assigned,Sponsor,,
2025-07-01,C179175,3-4,,AE,AE.AETERM,AEPRESP,Adverse Event Prespecified,AEBODSYS,,N,,,,,,,Qualifier,AEBODSYS,is a dictionary-derived term for the value in,IS_DERIVED_FROM,AETERM,text,200.0,,,Y,N,Assigned,Sponsor,,
2025-07-01,C179175,3-4,,AE,AE.AETERM,AEPRESP,Adverse Event Prespecified,AEBDSYCD,,N,,,,,,,Qualifier,AEBDSYCD,is the code for the value in,IS_DECODED_BY,AETERM,integer,8.0,,,Y,N,Assigned,Sponsor,,
2025-07-01,C179175,3-4,,AE,AE.AETERM,AEPRESP,Adverse Event Prespecified,AESOC,,N,,,,,,,Qualifier,AESOC,is a dictionary-derived term for the value in,IS_DERIVED_FROM,AETERM,text,200.0,,,Y,N,Assigned,Sponsor,,
2025-07-01,C179175,3-4,,AE,AE.AETERM,AEPRESP,Adverse Event Prespecified,AESOCCD,,N,,,,,,,Qualifier,AESOCCD,is the code for the value in,IS_DECODED_BY,AETERM,integer,8.0,,,Y,N,Assigned,Sponsor,,
2025-07-01,C179175,3-4,,AE,AE.AETERM,AEPRESP,Adverse Event Prespecified,AELOC,C83205,N,C74456,LOC,,,,,Qualifier,AELOC,specifies the anatomical location in,SPECIFIES,AETERM,text,200.0,,,N,N,Collected,Investigator,,
2025-07-01,C179175,3-4,,AE,AE.AETERM,AEPRESP,Adverse Event Prespecified,AESEV,C53253,N,C66769,AESEV,,,,,Qualifier,AESEV,assesses the severity of,ASSESSES,AETERM,text,20.0,,,N,N,Collected,Investigator,,
2025-07-01,C179175,3-4,,AE,AE.AETERM,AEPRESP,Adverse Event Prespecified,AESER,C53252,N,C66742,NY,NY_NY,N;Y,,,Qualifier,AESER,assesses seriousness of,ASSESSES,AETERM,text,1.0,,,Y,N,Collected,Investigator,,
2025-07-01,C179175,3-4,,AE,AE.AETERM,AEPRESP,Adverse Event Prespecified,AEACN,C83013,N,C66767,ACN,,,,,Qualifier,AEACN,describes actions taken,DESCRIBES,AETERM,text,200.0,,,Y,N,Collected,Investigator,,
2025-07-01,C179175,3-4,,AE,AE.AETERM,AEPRESP,Adverse Event Prespecified,AEACNOTH,C83109,N,,,,,,,Qualifier,AEACNOTH,describes actions taken,DESCRIBES,AETERM,text,200.0,,,N,N,Collected,Investigator,,
2025-07-01,C179175,3-4,,AE,AE.AETERM,AEPRESP,Adverse Event Prespecified,AEREL,C41358,N,,,,,,,Qualifier,AEREL,describes relationship of,DESCRIBES,AETERM,text,200.0,,,Y,N,Collected,Investigator,,
2025-07-01,C179175,3-4,,AE,AE.AETERM,AEPRESP,Adverse Event Prespecified,AERLDEV,,N,,,,,,,Qualifier,AERLDEV,describes relationship of,DESCRIBES,AETERM,text,200.0,,,N,N,Collected,Investigator,,
2025-07-01,C179175,3-4,,AE,AE.AETERM,AEPRESP,Adverse Event Prespecified,AERELNST,C83210,N,,,,,,,Qualifier,AERELNST,describes relationship of,DESCRIBES,AETERM,text,200.0,,,N,N,Collected,Investigator,,
2025-07-01,C179175,3-4,,AE,AE.AETERM,AEPRESP,Adverse Event Prespecified,AEPATT,C83208,N,,,,,,,Qualifier,AEPATT,identifies a pattern of,IDENTIFIES,AETERM,text,200.0,,,N,N,Collected,Investigator,,
2025-07-01,C179175,3-4,,AE,AE.AETERM,AEPRESP,Adverse Event Prespecified,AEOUT,C49489,N,C66768,OUT,,,,,Qualifier,AEOUT,describes the outcome of,DESCRIBES,AETERM,text,200.0,,,N,N,Collected,Investigator,,
2025-07-01,C179175,3-4,,AE,AE.AETERM,AEPRESP,Adverse Event Prespecified,AESCAN,C83211,N,C66742,NY,NY_NY,N;Y,,,Qualifier,AESCAN,describes relationship of,DESCRIBES,AETERM,text,1.0,,,N,N,Collected,Investigator,,
2025-07-01,C179175,3-4,,AE,AE.AETERM,AEPRESP,Adverse Event Prespecified,AESCONG,C83117,N,C66742,NY,NY_NY,N;Y,,,Qualifier,AESCONG,describes relationship of,DESCRIBES,AETERM,text,1.0,,,N,N,Collected,Investigator,,
2025-07-01,C179175,3-4,,AE,AE.AETERM,AEPRESP,Adverse Event Prespecified,AESDISAB,C113380,N,C66742,NY,NY_NY,N;Y,,,Qualifier,AESDISAB,describes relationship of,DESCRIBES,AETERM,text,1.0,,,N,N,Collected,Investigator,,
2025-07-01,C179175,3-4,,AE,AE.AETERM,AEPRESP,Adverse Event Prespecified,AESDTH,C48275,N,C66742,NY,NY_NY,N;Y,,,Qualifier,AESDTH,describes relationship of,DESCRIBES,AETERM,text,1.0,,,N,N,Collected,Investigator,,
2025-07-01,C179175,3-4,,AE,AE.AETERM,AEPRESP,Adverse Event Prespecified,AESHOSP,C83052,N,C66742,NY,NY_NY,N;Y,,,Qualifier,AESHOSP,describes relationship of,DESCRIBES,AETERM,text,1.0,,,N,N,Collected,Investigator,,
2025-07-01,C179175,3-4,,AE,AE.AETERM,AEPRESP,Adverse Event Prespecified,AESLIFE,C84266,N,C66742,NY,NY_NY,N;Y,,,Qualifier,AESLIFE,describes relationship of,DESCRIBES,AETERM,text,1.0,,,N,N,Collected,Investigator,,
2025-07-01,C179175,3-4,,AE,AE.AETERM,AEPRESP,Adverse Event Prespecified,AESOD,C83214,N,C66742,NY,NY_NY,N;Y,,,Qualifier,AESOD,describes relationship of,DESCRIBES,AETERM,text,1.0,,,N,N,Collected,Investigator,,
2025-07-01,C179175,3-4,,AE,AE.AETERM,AEPRESP,Adverse Event Prespecified,AESMIE,C83053,N,C66742,NY,NY_NY,N;Y,,,Qualifier,AESMIE,describes relationship of,DESCRIBES,AETERM,text,1.0,,,N,N,Collected,Investigator,,
2025-07-01,C179175,3-4,,AE,AE.AETERM,AEPRESP,Adverse Event Prespecified,AECONTRT,C83199,N,C66742,NY,NY_NY,N;Y,,,Qualifier,AECONTRT,describes relationship of,DESCRIBES,AETERM,text,1.0,,,N,N,Collected,Investigator,,
2025-07-01,C179175,3-4,,AE,AE.AETERM,AEPRESP,Adverse Event Prespecified,AETOXGR,C78605,N,,,,0;1;2;3;4;5,,,Qualifier,AETOXGR,is the severity of the toxicity in,SPECIFIES,AETERM,text,1.0,,,N,N,Collected,Investigator,,
2025-07-01,C179175,3-4,,AE,AE.AETERM,AEPRESP,Adverse Event Prespecified,AESTDTC,C83215,N,,,,,,,Timing,AESTDTC,is the start date for,IS_TIMING_FOR,AETERM,datetime,,,,N,N,Collected,Investigator,,
2025-07-01,C179175,3-4,,AE,AE.AETERM,AEPRESP,Adverse Event Prespecified,AEENDTC,C83201,N,,,,,,,Timing,AEENDTC,is the end date for,IS_TIMING_FOR,AETERM,datetime,,,,N,N,Collected,Investigator,,
2025-07-01,C179175,3-4,,AE,AE.AETERM,AEPRESP,Adverse Event Prespecified,AEENRF,C82557,N,C66728,STENRF,,BEFORE;DURING;DURING/AFTER;AFTER;UNKNOWN,,,Timing,,,,,text,20.0,,,N,N,Assigned,Sponsor,,
2025-07-01,C179175,3-4,,AE,AE.AETERM,AEPRESP,Adverse Event Prespecified,AEENRTPT,C82558,N,C66728,STENRF,,BEFORE;COINCIDENT;AFTER;ONGOING;UNKNOWN,,,Timing,,,,,text,20.0,,,N,N,Assigned,Sponsor,,
2025-07-01,C179175,3-4,,AE,AE.AETERM,AEPRESP,Adverse Event Prespecified,AEENTPT,C82574,N,,,,,,,Timing,,,,,text,20.0,,,N,N,Assigned,Sponsor,,
2025-07-01,C53630,3-2,,CM,CM.CMTRT,CMFREE,Concomitant Medication Free Text Format,CMTRT,C70902,N,,,,,,,Topic,CMTRT,is original text for,IS_ORIGINAL_TEXT_FOR,CMDECOD,text,200.0,,,Y,Y,Collected,Investigator,,
2025-07-01,C53630,3-2,,CM,CM.CMTRT,CMFREE,Concomitant Medication Free Text Format,CMDECOD,C83345,N,,,,,,,Qualifier,CMDECOD,is the dictionary-derived term for the value in,DECODES,CMTRT,text,200.0,,,Y,N,Assigned,Sponsor,,
2025-07-01,C53630,3-2,,CM,CM.CMTRT,CMFREE,Concomitant Medication Free Text Format,CMCAT,C25372,N,,,,,,,Qualifier,,,,,text,200.0,,,N,N,Assigned,Sponsor,,
2025-07-01,C53630,3-2,,CM,CM.CMTRT,CMFREE,Concomitant Medication Free Text Format,CMSCAT,C25692,N,,,,,,,Qualifier,,,,,text,200.0,,,N,N,Assigned,Sponsor,,
2025-07-01,C53630,3-2,,CM,CM.CMTRT,CMFREE,Concomitant Medication Free Text Format,CMCLAS,C83219,N,,,,,,,Qualifier,CMCLAS,is a dictionary-derived class name for the value in,IS_DERIVED_FROM,CMTRT,text,200.0,,,N,N,Assigned,Sponsor,,
2025-07-01,C53630,3-2,,CM,CM.CMTRT,CMFREE,Concomitant Medication Free Text Format,CMCLASCD,C83219,N,,,,,,,Qualifier,CMCLASCD,is a dictionary-derived class code for the value in,IS_DECODED_BY,CMTRT,text,200.0,,,N,N,Assigned,Sponsor,,
2025-07-01,C53630,3-2,,CM,CM.CMTRT,CMFREE,Concomitant Medication Free Text Format,CMINDC,C83085,N,,,,,,,Qualifier,CMINDC,is the medical condition that is the reason for the treatment in,IS_REASON_FOR,CMTRT,text,200.0,,,N,N,Collected,Investigator,,
2025-07-01,C53630,3-2,,CM,CM.CMTRT,CMFREE,Concomitant Medication Free Text Format,CMDOSE,C83221,N,,,,,,,Qualifier,CMDOSE,is the administered amount of the treatment in,IS_ATTRIBUTE_FOR,CMTRT,float,8.0,8.3,3.0,N,N,Collected,Investigator,,
2025-07-01,C53630,3-2,,CM,CM.CMTRT,CMFREE,Concomitant Medication Free Text Format,CMDOSTXT,C83221,N,,,,,,,Qualifier,CMDOSTXT,is the administered amount of the treatment in,IS_ATTRIBUTE_FOR,CMTRT,text,40.0,,,N,N,Collected,Investigator,,
2025-07-01,C53630,3-2,,CM,CM.CMTRT,CMFREE,Concomitant Medication Free Text Format,CMDOSU,C83034,N,C71620,UNIT,,,,,Qualifier,CMDOSU,is the unit for,IS_UNIT_FOR,CMDOSE,text,40.0,,,N,N,Collected,Investigator,,
2025-07-01,C53630,3-2,,CM,CM.CMTRT,CMFREE,Concomitant Medication Free Text Format,CMDOSFRM,C83110,N,C66726,FRM,,,,,Qualifier,CMDOSFRM,is the physical form of the product in,IS_ATTRIBUTE_FOR,CMTRT,text,40.0,,,N,N,Collected,Investigator,,
2025-07-01,C53630,3-2,,CM,CM.CMTRT,CMFREE,Concomitant Medication Free Text Format,CMDOSFRQ,C83042,N,C71113,FREQ,,,,,Qualifier,CMDOSFRQ,is the frequency of administration of the amount in,SPECIFIES,CMDOSE,text,40.0,,,N,N,Collected,Investigator,,
2025-07-01,C53630,3-2,,CM,CM.CMTRT,CMFREE,Concomitant Medication Free Text Format,CMROUTE,C83120,N,C66729,ROUTE,,,,,Qualifier,CMROUTE,is the part of the body through which is administered the treatment in,IS_ATTRIBUTE_FOR,CMTRT,text,40.0,,,N,N,Collected,Investigator,,
2025-07-01,C53630,3-2,,CM,CM.CMTRT,CMFREE,Concomitant Medication Free Text Format,CMSTDTC,C83235,N,,,,,,,Timing,CMSTDTC,is the start date for,IS_TIMING_FOR,CMTRT,datetime,,,,N,N,Collected,Investigator,,
2025-07-01,C53630,3-2,,CM,CM.CMTRT,CMFREE,Concomitant Medication Free Text Format,CMENDTC,C83225,N,,,,,,,Timing,CMENDTC,is the end date for,IS_TIMING_FOR,CMTRT,datetime,,,,N,N,Collected,Investigator,,
2025-07-01,C53630,3-2,,CM,CM.CMTRT,CMFREE,Concomitant Medication Free Text Format,CMSTRF,C82559,N,C66728,STENRF,,BEFORE;DURING;DURING/AFTER;AFTER;UNKNOWN,,,Timing,,,,,text,20.0,,,N,N,Assigned,Sponsor,,
2025-07-01,C53630,3-2,,CM,CM.CMTRT,CMFREE,Concomitant Medication Free Text Format,CMSTRTPT,C82560,N,C66728,STENRF,,BEFORE;COINCIDENT;AFTER;ONGOING;UNKNOWN,,,Timing,,,,,text,20.0,,,N,N,Assigned,Sponsor,,
2025-07-01,C53630,3-2,,CM,CM.CMTRT,CMFREE,Concomitant Medication Free Text Format,CMSTTPT,C82575,N,,,,,,,Timing,,,,,text,20.0,,,N,N,Assigned,Sponsor,,
2025-07-01,C53630,3-2,,CM,CM.CMTRT,CMFREE,Concomitant Medication Free Text Format,CMENRF,C82557,N,C66728,STENRF,,BEFORE;DURING;DURING/AFTER;AFTER;UNKNOWN,,,Timing,,,,,text,20.0,,,N,N,Assigned,Sponsor,,
2025-07-01,C53630,3-2,,CM,CM.CMTRT,CMFREE,Concomitant Medication Free Text Format,CMENRTPT,C82558,N,C66728,STENRF,,BEFORE;COINCIDENT;AFTER;ONGOING;UNKNOWN,,,Timing,,,,,text,20.0,,,N,N,Assigned,Sponsor,,
2025-07-01,C53630,3-2,,CM,CM.CMTRT,CMFREE,Concomitant Medication Free Text Format,CMENTPT,C82574,N,,,,,,,Timing,,,,,text,20.0,,,N,N,Assigned,Sponsor,,
2025-07-01,C53630,3-2,,CM,CM.CMTRT,CMPRESP,Concomitant Medication Prespecified,CMTRT,C70902,N,,,,,,,Topic,CMTRT,is original text for,IS_ORIGINAL_TEXT_FOR,CMDECOD,text,200.0,,,Y,Y,Collected,Investigator,,
2025-07-01,C53630,3-2,,CM,CM.CMTRT,CMPRESP,Concomitant Medication Prespecified,CMDECOD,C83345,N,,,,,,,Qualifier,CMDECOD,is the dictionary-derived term for the value in,DECODES,CMTRT,text,200.0,,,Y,N,Assigned,Sponsor,,
2025-07-01,C53630,3-2,,CM,CM.CMTRT,CMPRESP,Concomitant Medication Prespecified,CMCAT,C25372,N,,,,,,,Qualifier,,,,,text,200.0,,,N,N,Assigned,Sponsor,,
2025-07-01,C53630,3-2,,CM,CM.CMTRT,CMPRESP,Concomitant Medication Prespecified,CMSCAT,C25692,N,,,,,,,Qualifier,,,,,text,200.0,,,N,N,Assigned,Sponsor,,
