package_date,bc_id,vlm_group_id,standard,standard_start_version,standard_end_version,domain,crf_group_id,implementation_option,scenario,categories,short_name,crf_item,variable_name,dec_id,question_text,prompt,completion_instructions,order_number,mandatory_variable,data_type,length,significant_digits,display_hidden,derived_variable,derivation_description,codelist,codelist_submission_value,value_list,value_display_list,selection_type,prepopulated_term,prepopulated_code,sdtm_target_variable,sdtm_annotation,sdtm_mapping
2025-12-31,C179175,AE,CDASHIG,2-1,,AE,AE_NORMALIZED,Normalized,,,Adverse Event Free Text Format (Normalized),AESHOSP,AESHOSP,C83052,,Hospitalization (initial or prolonged),,9,N,text,1,,N,N,,C66742,NY,N;Y,No;Yes,Single,,,AESHOSP,AESHOSP,
2025-12-31,C179175,AE,CDASHIG,2-1,,AE,AE_NORMALIZED,Normalized,,,Adverse Event Free Text Format (Normalized),AESDISAB,AESDISAB,C113380,,Disability or Permanent Damage,,10,N,text,1,,N,N,,C66742,NY,N;Y,No;Yes,Single,,,AESDISAB,AESDISAB,
2025-12-31,C179175,AE,CDASHIG,2-1,,AE,AE_NORMALIZED,Normalized,,,Adverse Event Free Text Format (Normalized),AESCONG,AESCONG,C83117,,Congenital Anomaly or Birth Defect,,11,N,text,1,,N,N,,C66742,NY,N;Y,No;Yes,Single,,,AESCONG,AESCONG,
2025-12-31,C179175,AE,CDASHIG,2-1,,AE,AE_NORMALIZED,Normalized,,,Adverse Event Free Text Format (Normalized),AESMIE,AESMIE,C83053,,Other Serious (Important Medical Events),,12,N,text,1,,N,N,,C66742,NY,N;Y,No;Yes,Single,,,AESMIE,AESMIE,
2025-12-31,C179175,AE,CDASHIG,2-1,,AE,AE_NORMALIZED,Normalized,,,Adverse Event Free Text Format (Normalized),AEREL,AEREL,C41358,,Relationship to Study Treatment,,13,Y,text,1,,N,N,,C66742,NY,N;Y,No;Yes,Single,,,AEREL,AEREL,
2025-12-31,C179175,AE,CDASHIG,2-1,,AE,AE_NORMALIZED,Normalized,,,Adverse Event Free Text Format (Normalized),AEACN,AEACN,C83013,,Action Taken with Study Treatment,,14,Y,text,200,,N,N,,C66767,ACN,DOSE INCREASED;DOSE NOT CHANGED;DOSE RATE REDUCED;DOSE REDUCED;DRUG INTERRUPTED;DRUG WITHDRAWN;NOT APPLICABLE;UNKNOWN,Dose Increased;Dose Not Changed;Dose Rate Reduced;Dose Reduced;Drug Interrupted;Drug Withdrawn;Not Applicable;Unknown,Multiple,,,AEACN,AEACN,
2025-12-31,C179175,AE,CDASHIG,2-1,,AE,AE_NORMALIZED,Normalized,,,Adverse Event Free Text Format (Normalized),AEACNOTH,AEACNOTH,C83109,,Other Action Taken,,15,N,text,200,,N,N,,,,,,,,,AEACNOTH,AEACNOTH,
2025-12-31,C179175,AE,CDASHIG,2-1,,AE,AE_NORMALIZED,Normalized,,,Adverse Event Free Text Format (Normalized),AEOUT,AEOUT,C49489,,Outcome,,16,N,text,200,,N,N,,C66768,OUT,FATAL;NOT RECOVERED/NOT RESOLVED;RECOVERED/RESOLVED;RECOVERED/RESOLVED WITH SEQUELAE;RECOVERING/RESOLVING;UNKNOWN,Fatal;Not Recovered/Not Resolved;Recovered/Resolved;Recovered/Resolved With Sequelae;Recovering/Resolving;Unknown,Single,,,AEOUT,AEOUT,
2025-12-31,C83056,,CDASHIG,2-1,,CM,CM,,,,Concomittant Medications Yes No Indicator,CMYN,CMYN,,Were any concomitant medications taken?,,,1,Y,text,1,,N,N,,C66742,NY,,,Single,,,,[NOT SUBMITTED],
2025-12-31,C83056,,CDASHIG,2-1,,CM,CM,,,,Concomittant Medications Yes No Indicator,CMDAT,CMDAT,C82515,,Collection Date,,2,N,date,10,,N,N,,,,,,,,,CMDTC,CMDTC,
2025-12-31,C53630,CMFREE,CDASHIG,2-1,,CM,CMFREE_NORMALIZED,Normalized,,,Concomitant Medication Free Text Format (Normalized),CMCAT,CMCAT,C25372,,Concomitant Medication Category,,1,N,text,200,,Y,N,,,,,,,,,CMCAT,CMCAT,
2025-12-31,C53630,CMFREE,CDASHIG,2-1,,CM,CMFREE_NORMALIZED,Normalized,,,Concomitant Medication Free Text Format (Normalized),CMSCAT,CMSCAT,C25692,,Concomitant Medication Subcategory,,2,N,text,200,,Y,N,,,,,,,,,CMSCAT,CMSCAT,
2025-12-31,C53630,CMFREE,CDASHIG,2-1,,CM,CMFREE_NORMALIZED,Normalized,,,Concomitant Medication Free Text Format (Normalized),CMTRT,CMTRT,C70902,,Concomitant Medication,,3,Y,text,200,,N,N,,,,,,,,,CMTRT,CMTRT,
2025-12-31,C53630,CMFREE,CDASHIG,2-1,,CM,CMFREE_NORMALIZED,Normalized,,,Concomitant Medication Free Text Format (Normalized),CMINDC,CMINDC,C83085,,Indication,,4,N,text,200,,N,N,,,,,,,,,CMINDC,CMINDC,
2025-12-31,C53630,CMFREE,CDASHIG,2-1,,CM,CMFREE_NORMALIZED,Normalized,,,Concomitant Medication Free Text Format (Normalized),CMDSTXT,CMDSTXT,,,Dose,,5,Y,text,100,,N,N,,,,,,,,,CMDOSE;CMDOSTXT,CMDOSE;CMDOSTXT,
2025-12-31,C53630,CMFREE,CDASHIG,2-1,,CM,CMFREE_NORMALIZED,Normalized,,,Concomitant Medication Free Text Format (Normalized),CMDOSU,CMDOSU,C83034,,Unit,,6,Y,text,40,,N,N,,C71620,UNIT,,,Single,,,CMDOSU,CMDOSU,
2025-12-31,C53630,CMFREE,CDASHIG,2-1,,CM,CMFREE_NORMALIZED,Normalized,,,Concomitant Medication Free Text Format (Normalized),CMDOSFRM,CMDOSFRM,C83110,,Dose Form,,7,N,text,40,,N,N,,C66726,FRM,,,Single,,,CMDOSFRM,CMDOSFRM,
2025-12-31,C53630,CMFREE,CDASHIG,2-1,,CM,CMFREE_NORMALIZED,Normalized,,,Concomitant Medication Free Text Format (Normalized),CMDOSFRQ,CMDOSFRQ,C83042,,Frequency,,8,N,text,40,,N,N,,C71113,FREQ,,,Single,,,CMDOSFRQ,CMDOSFRQ,
2025-12-31,C53630,CMFREE,CDASHIG,2-1,,CM,CMFREE_NORMALIZED,Normalized,,,Concomitant Medication Free Text Format (Normalized),CMROUTE,CMROUTE,C83120,,Route,,9,N,text,40,,N,N,,C66729,ROUTE,,,Single,,,CMROUTE,CMROUTE,
2025-12-31,C53630,CMFREE,CDASHIG,2-1,,CM,CMFREE_NORMALIZED,Normalized,,,Concomitant Medication Free Text Format (Normalized),CMSTDAT,CMSTDTC,C83235,,Start Date,,10,Y,date,10,,N,N,,,,,,,,,CMSTDTC,CMSTDTC,
2025-12-31,C53630,CMFREE,CDASHIG,2-1,,CM,CMFREE_NORMALIZED,Normalized,,,Concomitant Medication Free Text Format (Normalized),CMSTTIM,CMSTDTC,C83235,,Start Time,,11,N,time,5,,N,N,,,,,,,,,CMSTDTC,CMSTDTC,
2025-12-31,C53630,CMFREE,CDASHIG,2-1,,CM,CMFREE_NORMALIZED,Normalized,,,Concomitant Medication Free Text Format (Normalized),CMPRIOR,CMPRIOR,,,Prior to Study,,12,N,text,1,,N,N,,C66742,NY,,,Single,,,CMSTRF;CMSTRTPT;CMSTTPT,[NOT SUBMITTED];CMSTRF;CMSTRTPT;CMSTTPT,
2025-12-31,C53630,CMFREE,CDASHIG,2-1,,CM,CMFREE_NORMALIZED,Normalized,,,Concomitant Medication Free Text Format (Normalized),CMENDAT,CMENDTC,C83225,,End Date,,13,N,date,10,,N,N,,,,,,,,,CMENDTC,CMENDTC,
2025-12-31,C53630,CMFREE,CDASHIG,2-1,,CM,CMFREE_NORMALIZED,Normalized,,,Concomitant Medication Free Text Format (Normalized),CMENTIM,CMENDTC,C83225,,End Time,,14,N,time,5,,N,N,,,,,,,,,CMENDTC,CMENDTC,
2025-12-31,C53630,CMFREE,CDASHIG,2-1,,CM,CMFREE_NORMALIZED,Normalized,,,Concomitant Medication Free Text Format (Normalized),CMONGO,CMONGO,,,Ongoing,,15,N,text,1,,N,N,,C66742,NY,,,Single,,,CMENRF;CMENRTPT;CMENTPT,[NOT SUBMITTED];CMENRF;CMENRTPT;CMENTPT,
2025-12-31,C53630,CMPRESP,CDASHIG,2-1,,CM,CMPRESP_NORMALIZED,Normalized,,,Concomitant Medication Prespecified (Normalized),CMCAT,CMCAT,C25372,,Concomitant Medication Category,,1,N,text,200,,Y,N,,,,,,,,,CMCAT,CMCAT,
2025-12-31,C53630,CMPRESP,CDASHIG,2-1,,CM,CMPRESP_NORMALIZED,Normalized,,,Concomitant Medication Prespecified (Normalized),CMSCAT,CMSCAT,C25692,,Concomitant Medication Subcategory,,2,N,text,200,,Y,N,,,,,,,,,CMSCAT,CMSCAT,
2025-12-31,C53630,CMPRESP,CDASHIG,2-1,,CM,CMPRESP_NORMALIZED,Normalized,,,Concomitant Medication Prespecified (Normalized),CMINDC,CMINDC,C83085,,Indication,,3,N,text,200,,N,N,,,,,,,,,CMINDC,CMINDC,
2025-12-31,C53630,CMPRESP,CDASHIG,2-1,,CM,CMPRESP_NORMALIZED,Normalized,,,Concomitant Medication Prespecified (Normalized),CMTRT,CMTRT,C70902,,Concomitant Medication,,4,Y,text,200,,N,N,,,,,,,,,CMTRT,CMTRT,
2025-12-31,C53630,CMPRESP,CDASHIG,2-1,,CM,CMPRESP_NORMALIZED,Normalized,,,Concomitant Medication Prespecified (Normalized),CMPRESP,CMPRESP,C171000,,Prespecified,,5,Y,text,1,,Y,N,,C66742,NY,,,Single,,,CMPRESP,CMPRESP,
2025-12-31,C53630,CMPRESP,CDASHIG,2-1,,CM,CMPRESP_NORMALIZED,Normalized,,,Concomitant Medication Prespecified (Normalized),CMOCCUR,CMOCCUR,C127786,,Medication Taken,,6,Y,text,1,,N,N,,C66742,NY,,,Single,,,CMOCCUR,CMOCCUR,
2025-12-31,C53630,CMPRESP,CDASHIG,2-1,,CM,CMPRESP_NORMALIZED,Normalized,,,Concomitant Medication Prespecified (Normalized),CMDSTXT,CMDSTXT,,,Dose,,7,Y,text,100,,N,N,,,,,,,,,CMDOSE;CMDOSTXT,CMDOSE;CMDOSTXT,
2025-12-31,C53630,CMPRESP,CDASHIG,2-1,,CM,CMPRESP_NORMALIZED,Normalized,,,Concomitant Medication Prespecified (Normalized),CMDOSU,CMDOSU,C83034,,Unit,,8,Y,text,40,,N,N,,C71620,UNIT,,,Single,,,CMDOSU,CMDOSU,
2025-12-31,C53630,CMPRESP,CDASHIG,2-1,,CM,CMPRESP_NORMALIZED,Normalized,,,Concomitant Medication Prespecified (Normalized),CMDOSFRM,CMDOSFRM,C83110,,Dose Form,,9,N,text,40,,N,N,,C66726,FRM,,,Single,,,CMDOSFRM,CMDOSFRM,
2025-12-31,C53630,CMPRESP,CDASHIG,2-1,,CM,CMPRESP_NORMALIZED,Normalized,,,Concomitant Medication Prespecified (Normalized),CMDOSFRQ,CMDOSFRQ,C83042,,Frequency,,10,N,text,40,,N,N,,C71113,FREQ,,,Single,,,CMDOSFRQ,CMDOSFRQ,
2025-12-31,C53630,CMPRESP,CDASHIG,2-1,,CM,CMPRESP_NORMALIZED,Normalized,,,Concomitant Medication Prespecified (Normalized),CMROUTE,CMROUTE,C83120,,Route,,11,N,text,40,,N,N,,C66729,ROUTE,,,Single,,,CMROUTE,CMROUTE,
2025-12-31,C53630,CMPRESP,CDASHIG,2-1,,CM,CMPRESP_NORMALIZED,Normalized,,,Concomitant Medication Prespecified (Normalized),CMSTDAT,CMSTDTC,C83235,,Start Date,,12,Y,date,10,,N,N,,,,,,,,,CMSTDTC,CMSTDTC,
2025-12-31,C53630,CMPRESP,CDASHIG,2-1,,CM,CMPRESP_NORMALIZED,Normalized,,,Concomitant Medication Prespecified (Normalized),CMSTTIM,CMSTDTC,C83235,,Start Time,,13,N,time,5,,N,N,,,,,,,,,CMSTDTC,CMSTDTC,
2025-12-31,C53630,CMPRESP,CDASHIG,2-1,,CM,CMPRESP_NORMALIZED,Normalized,,,Concomitant Medication Prespecified (Normalized),CMPRIOR,CMPRIOR,,,Prior to Study,,14,N,text,1,,N,N,,C66742,NY,,,Single,,,CMSTRF;CMSTRTPT;CMSTTPT,[NOT SUBMITTED];CMSTRF;CMSTRTPT;CMSTTPT,
2025-12-31,C53630,CMPRESP,CDASHIG,2-1,,CM,CMPRESP_NORMALIZED,Normalized,,,Concomitant Medication Prespecified (Normalized),CMENDAT,CMENDTC,C83225,,End Date,,15,N,date,10,,N,N,,,,,,,,,CMENDTC,CMENDTC,
2025-12-31,C53630,CMPRESP,CDASHIG,2-1,,CM,CMPRESP_NORMALIZED,Normalized,,,Concomitant Medication Prespecified (Normalized),CMENTIM,CMENDTC,C83225,,End Time,,16,N,time,5,,N,N,,,,,,,,,CMENDTC,CMENDTC,
2025-12-31,C53630,CMPRESP,CDASHIG,2-1,,CM,CMPRESP_NORMALIZED,Normalized,,,Concomitant Medication Prespecified (Normalized),CMONGO,CMONGO,,,Ongoing,,17,N,text,1,,N,N,,C66742,NY,,,Single,,,CMENRF;CMENRTPT;CMENTPT,[NOT SUBMITTED];CMENRF;CMENRTPT;CMENTPT,
2025-12-31,C53630,CMPRIORBREASTCANCER,CDASHIG,2-1,,CM,CMPRIORBREASTCANCER_NORMALIZED,Normalized,,,Concomitant Therapy Breast Cancer Prior Treatment (Normalized),CMCAT,CMCAT,C25372,,Concomitant Medication Category,,1,N,text,200,,Y,N,,,,,,,ANTI-CANCER THERAPY,,CMCAT,CMCAT = ANTI-CANCER THERAPY,
2025-12-31,C53630,CMPRIORBREASTCANCER,CDASHIG,2-1,,CM,CMPRIORBREASTCANCER_NORMALIZED,Normalized,,,Concomitant Therapy Breast Cancer Prior Treatment (Normalized),CMINDC,CMINDC,C83085,,Indication,,2,N,text,200,,Y,N,,,,,,,BREAST CANCER,,CMINDC,CMINDC = BREAST CANCER,
2025-12-31,C53630,CMPRIORBREASTCANCER,CDASHIG,2-1,,CM,CMPRIORBREASTCANCER_NORMALIZED,Normalized,,,Concomitant Therapy Breast Cancer Prior Treatment (Normalized),CMGRPID,CMGRPID,,,Group Identifier,,3,Y,text,20,,N,N,,,,1;2,1;2,Single,,,CMGRPID,CMGRPID,
2025-12-31,C53630,CMPRIORBREASTCANCER,CDASHIG,2-1,,CM,CMPRIORBREASTCANCER_NORMALIZED,Normalized,,,Concomitant Therapy Breast Cancer Prior Treatment (Normalized),CMTRT,CMTRT,C70902,,Concomitant Medication,,4,Y,text,200,,N,N,,,,ABEMACICLIB;VERZENIO;ANASTROZOLE;ARIMIDEX;CAPECITABINE;XELODA;CYCLOPHOSPHAMIDE;CYTOXAN;NEOSAR;DOCETAXEL;TAXOTERE;DOXORUBICIN ADRIAMYCIN;EVEROLIMUS;AFINITOR;EXEMESTANE;AROMASIN;FULVESTRANT;FASLODEX;GEMCITABINE;GEMZAR;LAPATINIB;TYKERB;NERATINIB;NERLYNX;PACLITAXEL;ONXOL;TAXOL;PALBOCICLIB;IBRANCE;PEMBROLIZUMAB;KEYTRUDA;PERTUZUMAB;PERJETA;PETUZUMAB;RALOXIFENE;EVISTA;RIBOCICLIB;KISQALI;TAMOXIFEN;SOLTAMOX;TRASTUZUMAB;HERCEPTIN;TUCATINIB;TUKYSA;VINFLUNNINE;JAVLOR,Abemaciclib;Verzenio;Anastrozole;Arimidex;Capecitabine;Xeloda;Cyclophosphamide;Cytoxan;Neosar;Docetaxel;Taxotere;Doxorubicin Adriamycin;Everolimus;Afinitor;Exemestane;Aromasin;Fulvestrant;Faslodex;Gemcitabine;Gemzar;Lapatinib;Tykerb;Neratinib;Nerlynx;Paclitaxel;Onxol;Taxol;Palbociclib;Ibrance;Pembrolizumab;Keytruda;Pertuzumab;Perjeta;Petuzumab;Raloxifene;Evista;Ribociclib;Kisqali;Tamoxifen;Soltamox;Trastuzumab;Herceptin;Tucatinib;Tukysa;Vinflunnine;Javlor,Single,,,CMTRT,CMTRT,
2025-12-31,C53630,CMPRIORBREASTCANCER,CDASHIG,2-1,,CM,CMPRIORBREASTCANCER_NORMALIZED,Normalized,,,Concomitant Therapy Breast Cancer Prior Treatment (Normalized),CMPRESP,CMPRESP,C171000,,Prespecified,,5,Y,text,1,,Y,N,,C66742,NY,,,Single,,,CMPRESP,CMPRESP,
2025-12-31,C53630,CMPRIORBREASTCANCER,CDASHIG,2-1,,CM,CMPRIORBREASTCANCER_NORMALIZED,Normalized,,,Concomitant Therapy Breast Cancer Prior Treatment (Normalized),CMOCCUR,CMOCCUR,C127786,,Medication Taken,,6,Y,text,1,,Y,N,,C66742,NY,,,Single,,,CMOCCUR,CMOCCUR,
2025-12-31,C53630,CMPRIORBREASTCANCER,CDASHIG,2-1,,CM,CMPRIORBREASTCANCER_NORMALIZED,Normalized,,,Concomitant Therapy Breast Cancer Prior Treatment (Normalized),CMTRTSTT,CMTRTSTT,,,Treatment Setting,,7,N,text,200,,N,N,,C124308,TRTSET,ADJUVANT;METASTATIC;NEO-ADJUVANT,Adjuvant;Metastatic;Neo-Adjuvant,Single,,,CMTRTSTT,CMTRTSTT,
2025-12-31,C53630,CMPRIORBREASTCANCER,CDASHIG,2-1,,CM,CMPRIORBREASTCANCER_NORMALIZED,Normalized,,,Concomitant Therapy Breast Cancer Prior Treatment (Normalized),CMTRTINT,CMTRTINT,,,Treatment Intent,,8,N,text,200,,N,N,,C124307,TRTINTNT,PALLIATIVE;CURATIVE,Palliative;Curative,Single,,,CMTRTINT,CMTRTINT,
2025-12-31,C53630,CMPRIORBREASTCANCER,CDASHIG,2-1,,CM,CMPRIORBREASTCANCER_NORMALIZED,Normalized,,,Concomitant Therapy Breast Cancer Prior Treatment (Normalized),CMDSTXT,CMDSTXT,,,Dose,,9,Y,text,100,,N,N,,,,,,,,,CMDOSE;CMDOSTXT,CMDOSE;CMDOSTXT,
2025-12-31,C53630,CMPRIORBREASTCANCER,CDASHIG,2-1,,CM,CMPRIORBREASTCANCER_NORMALIZED,Normalized,,,Concomitant Therapy Breast Cancer Prior Treatment (Normalized),CMDOSU,CMDOSU,C83034,,Unit,,10,Y,text,40,,N,N,,C71620,UNIT,,,Single,,,CMDOSU,CMDOSU,
2025-12-31,C53630,CMPRIORBREASTCANCER,CDASHIG,2-1,,CM,CMPRIORBREASTCANCER_NORMALIZED,Normalized,,,Concomitant Therapy Breast Cancer Prior Treatment (Normalized),CMDOSFRM,CMDOSFRM,C83110,,Dose Form,,11,N,text,40,,N,N,,C66726,FRM,,,Single,,,CMDOSFRM,CMDOSFRM,
2025-12-31,C53630,CMPRIORBREASTCANCER,CDASHIG,2-1,,CM,CMPRIORBREASTCANCER_NORMALIZED,Normalized,,,Concomitant Therapy Breast Cancer Prior Treatment (Normalized),CMDOSFRQ,CMDOSFRQ,C83042,,Frequency,,12,N,text,40,,N,N,,C71113,FREQ,,,Single,,,CMDOSFRQ,CMDOSFRQ,
2025-12-31,C53630,CMPRIORBREASTCANCER,CDASHIG,2-1,,CM,CMPRIORBREASTCANCER_NORMALIZED,Normalized,,,Concomitant Therapy Breast Cancer Prior Treatment (Normalized),CMDOSRGM,CMDOSRGM,,,Dose Regimen,,13,N,text,200,,N,N,,,,,,,,,CMDOSRGM,CMDOSRGM,
2025-12-31,C53630,CMPRIORBREASTCANCER,CDASHIG,2-1,,CM,CMPRIORBREASTCANCER_NORMALIZED,Normalized,,,Concomitant Therapy Breast Cancer Prior Treatment (Normalized),CMROUTE,CMROUTE,C83120,,Route,,14,N,text,200,,N,N,,C66729,ROUTE,,,Single,,,CMROUTE,CMROUTE,
